#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-01T20:37:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-01T20:37:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=DEICRS&-out=Plx&-out=B-V&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP|Vmag|DEICRS|Plx|B-V
 |mag|deg|mas|mag
------|-----|------------|-------|------
     1| 9.10|+01.08901332|   3.54| 0.482
     2| 9.27|-19.49883745|  21.90| 0.999
     3| 6.61|+38.85928608|   2.81|-0.019
     4| 8.06|-51.89354612|   7.75| 0.370
     5| 8.55|-40.59122440|   2.87| 0.902
     6|12.31|+03.94648893|  18.80| 1.336
     7| 9.64|+20.03660216|  17.74| 0.740
     8| 9.05|+25.88647445|   5.17| 1.102
     9| 8.59|+36.58593777|   4.81| 1.067
    10| 8.59|-50.86707360|  10.76| 0.489
    11| 7.34|+46.94000154|   4.29| 0.081
    12| 8.43|-35.96022482|   4.06| 1.484
    13| 8.80|-22.59468060|   3.49| 1.128
    14| 7.25|-00.36042119|   5.11| 1.200
    15| 8.60|+50.79117384|   2.45| 1.166
    17| 8.15|-40.19232842|   6.15| 0.425
    16|11.71|-54.91412819|   0.53| 0.421
    18|11.03|-04.05373813|  19.93| 1.567
    19| 6.53|+38.30408636|   4.12| 0.955
    20| 8.51|+23.52928397|  10.76| 0.516
    21| 7.55|+08.00723437|   5.84| 1.438
    22| 8.69|-49.35226686|   4.47| 0.962
    23| 7.57|+13.31221083|  12.21| 0.456
    24| 9.05|-23.45274913|   9.73| 0.528
    25| 6.28|-44.29029741|  13.74| 0.763
    26| 9.13|-13.39329686|   9.19| 0.535
    27| 9.32|-41.29753696|   9.66| 0.671
    28| 8.83|-43.36179962|   5.64| 0.468
    29| 9.14|-49.10795505|   2.85| 1.041
    30| 8.26|+42.14149882|   3.79| 0.142
    31| 7.63|+02.67547768|   1.84| 1.453
    32| 9.09|+51.93949050|   3.10| 0.040
    33| 8.10|-10.46245445|   8.94| 0.466
    34| 6.43|+26.91823821|  12.71| 0.514
    35| 9.07|-14.49048072|   5.96| 0.916
    36| 7.68|+12.26709303|   6.30| 1.150
    37|10.44|-47.17958382|   3.74| 0.391
    38| 8.65|-79.06183133|  23.84| 0.778
    39| 7.46|-16.69693020|  10.98| 0.475
    41| 8.70|+54.30223774|   3.42| 0.026
    40|10.61|+67.21679125|  -3.40| 0.570
    42| 8.20|+25.84478059|   6.38| 0.387
